selected,url,story_id,title,relevance_score,quality_score,combined_score,read_count,vote_count,comment_count,popularity_hits,search_hits,tags,reasons,quality_reasons,synopsis
True,https://www.wattpad.com/story/283980611,283980611,Psychological Facts,45.9,11.512327067454793,57.41232706745479,15860,440,179,0,1,"[""action"", ""brainfacts"", ""completed"", ""didyouknow"", ""education"", ""facts"", ""humanbehavior"", ""humanbehaviour"", ""interestingfacts"", ""knowledge"", ""learnsomethingnew"", ""mindblowing"", ""nature"", ""nonfiction"", ""psychologicalfacts"", ""psychology"", ""psychologyfacts"", ""psychologytips"", ""selfawareness"", ""tourists"", ""Non-Fiction""]","[""psychology:psychology"", ""psychology:psychological"", ""title:psychological"", ""psychology:human behavior"", ""strong-tag:psychology"", ""multi-signal""]","[""reads=15860"", ""votes=440"", ""comments=179""]","Ever wondered why your mind works the way it does-or stumbled on a random fact that completely changed how you see the world?

This book goes beyond psychology, diving into fascinating insights about human behavior, surprising truths about the body, intriguing places and countries, bizarre historical oddities, and mind-blowing facts about space.

Some will make you think. Some will shock you. And some will stay with you long after you've read them.

If you love learning things that make you pause and question everything, this is for you."
True,https://www.wattpad.com/story/124816840,124816840,Psychological Facts,45.9,11.34135531360521,57.24135531360521,186813,6641,1076,0,1,"[""brain"", ""facts"", ""psychological"", ""psycologyfacts"", ""thefacts"", ""Random""]","[""psychology:psychology"", ""psychology:psychological"", ""title:psychological"", ""strong-tag:psychological"", ""multi-signal""]","[""reads=186813"", ""votes=6641"", ""comments=1076"", ""presentation:very-short-synopsis""]","Here you will find out some ""Psychological Facts""

Find yourself and be that!

🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼

#1 in facts ❤❤❤

#1 in brain❤❤❤

#1 in psychology❤❤❤"
True,https://www.wattpad.com/story/350925259,350925259,Izhaar ~ Sanity to my Insanity and Peace to my Chaos.,39.2,16.920547421942462,56.12054742194246,530404,22619,1858,0,1,"[""arrangedmarriage"", ""billionaire"", ""desi"", ""desiromance"", ""dreamy"", ""family"", ""indian"", ""love"", ""romance"", ""secretpinning"", ""slowburn"", ""wattpadindia"", ""Romance""]","[""psychology:sanity"", ""title:sanity"", ""psychology:insanity"", ""title:insanity"", ""multi-signal""]","[""reads=530404"", ""votes=22619"", ""comments=1858""]","""To the heartbeat that quickens at your touch, a melody only our souls can truly dance to.......""

IZHAAR: Sanity to my Insanity and Peace to my Chaos.

(Book-1) Safar-e-Izhaar series.

Story of Aarav and Adwitya.

AARAV SINGH RAICHAND

A 27 year old, Billionaire CEO of Raichand Companies (India and Abroad) may come across as grumpy to the world, but deep down, he's a total sweetheart when it comes to his family. Despite his tough exterior, Aarav's love and care for his loved ones shine through, making him lovable and endearing. His family is lucky to have such a kind-hearted and affectionate person in their lives.

ADWITYA MEHRA

A 25 years old, finance analyst, is a delightful mix of sweet and sassy. She's naturally shy but has a heart of gold, always being sweet to those who show her kindness. However, don't be fooled by her gentle demeanor, because if someone tries to mess with her, her sassy side comes out to play. Adwitya knows how to hold her own and won't hesitate to give a sassy comeback when needed. She's charming and dynamic, who adds a touch of sweetness and spice to any situation.

The Tropes of the Book💫

Arrange Marriage

Billionaire Romance

Desi Romance

Secret Pining

Grumpy x Sunshine

Let the Universe decide what is written in their stars ✨

Read ""IZHAAR"" to learn about their journey of love."
True,https://www.wattpad.com/story/133085783,133085783,Philosophical Topics (Philosophy of the Mind Prt. II),49.7,6.29156022029955,55.991560220299554,12825,188,27,0,2,"[""philosophicalstudies"", ""philosophy"", ""religiousstudies"", ""Spiritual""]","[""philosophy:philosophy"", ""title:philosophy"", ""philosophy:philosophical"", ""title:philosophical"", ""strong-tag:philosophy"", ""multi-signal""]","[""reads=12825"", ""votes=188"", ""comments=27"", ""presentation:very-short-synopsis""]",Another collection of Philosophical and Religious writings that I completed while in this past semester of my junior year in college
True,https://www.wattpad.com/story/278770795-the-university-of-gangsters,278770795,THE UNIVERSITY OF GANGSTERS,40.0,15.532227744667505,55.53222774466751,337090,4993,70,1,0,"[""2025"", ""bullystory"", ""damon"", ""gangleader"", ""ganglife"", ""gangsters"", ""hell"", ""humor"", ""lovestory"", ""lovetriangle"", ""lucifer"", ""obsession"", ""original"", ""philippines"", ""philosophy"", ""possessive"", ""romance"", ""shortstory"", ""tagalog"", ""tagalog-english"", ""taglish"", ""thriller"", ""universidad"", ""Mystery / Thriller""]","[""philosophy:morality"", ""psychology:madness"", ""strong-tag:philosophy"", ""cross-domain-evidence"", ""multi-signal""]","[""reads=337090"", ""votes=4993"", ""comments=70"", ""popularity-surfaces=1""]","There exists a notorious school known only as the University of Gangsters-a place where students with the lowest grades and the most violent tempers are cast away. It is a prison disguised as a campus, where rules are warped and morality is a forgotten word. In these halls, drugs, cigarettes-even murder-are not forbidden. Chaos is law, and power decides who survives.

Within its walls, factions rise and fall. Gangs are formed in shadows, alliances sealed with blood, and betrayals whispered behind every corner. And yet, beneath the violence and madness, one strange truth remains-everyone is desperate to escape. For many, studying is not a choice, but a way out of the cage.

Among the many thrown into this cursed academy, a group of friends finds themselves bound by fate. One among them-a girl whose heart dares to love the mysterious and feared owner of the school. But their love is forbidden. Eyes watch them. Enemies stir. And secrets-dark, ancient, and dangerous-begin to unravel.

Demons masquerade as angels. Enemies wear the faces of friends. Every smile may hide a dagger. Every truth may be a lie.

And in the end...

Will love conquer the storm, or will hatred and vengeance burn the world down?

""Fight or else you will die...""

[COMPLETE]

This story is written in Taglish (Tagalog and English).

This story is not based on real events. Names, Characters, place, and events are not real.

WARNING: This story may contain matured content, language, and abuse."
True,https://www.wattpad.com/story/212695496,212695496,Psychology Facts,41.1,11.134044368075042,52.23404436807505,182425,7032,630,0,1,"[""attraction"", ""brain"", ""facts"", ""friendship"", ""happiness"", ""laughter"", ""music"", ""psychological"", ""psychology"", ""random"", ""randomthoughts"", ""science"", ""trivia"", ""Random""]","[""psychology:psychology"", ""title:psychology"", ""strong-tag:psychology"", ""strong-tag:psychological"", ""multi-signal""]","[""reads=182425"", ""votes=7032"", ""comments=630"", ""presentation:very-short-synopsis""]",Wattpad connects a global community of millions of readers and writers through the power of story
True,https://www.wattpad.com/story/394887764,394887764,TELL ME WHO I AM! | Dark Romance | Psychological Thriller |,40.2,11.895098863161317,52.09509886316132,21082,663,93,0,2,"[""amnesia"", ""angst"", ""darkromance"", ""enemiestolovers"", ""forbiddenlove"", ""morallygrayhero"", ""mystery-thriller"", ""psycho-thriller"", ""psychological"", ""romantic-thriller"", ""slowburn"", ""suspense"", ""wattys2025"", ""wattys2026"", ""Romance""]","[""psychology:psychological"", ""title:psychological"", ""psychology:psychological thriller"", ""title:psychological thriller"", ""strong-tag:psychological"", ""multi-signal""]","[""reads=21082"", ""votes=663"", ""comments=93""]","She wakes up in a stranger's bed, a diamond ring glimmering on her finger - a symbol of promises she cannot remember - a vow forged in a past that's been stolen from her.

Everyone says she's fortunate. That she's blessed. That a beautiful home, a devoted fiancé, and a spotless future await her. But when her pulse falters under his gentle touch... when her skin shivers instead of warming - something deep within resonates with the alarming feeling that something is profoundly, dangerously wrong.

He insists it's for her own safety - that something awful happened, that healing simply takes time - but there's a fire in his eyes, a possessiveness he cannot mask. And somewhere in her mind, a locked box rattles against its chains.

And at night, in the quiet... she dreams of another man she does not recognize.

Until one day he steps out of the shadows. Not with flowers, but with fire, with danger, with a confession forged in the pure agony of a love forgotten.

Not with comfort, but with a storm in his eyes and a voice that trembles when he says-

""You promised to remember me,"" he whispers.

""Even if the whole world made you forget.""

He is not kind. He is not patient. His love is wild - a consuming force - a sin that feels more elemental than redemption. The moment he reaches for her, the carefully woven lie starts to unravel, thread by thread, until the awful, beautiful truth emerges.

She doesn't know his name.

But her soul does.

Now, stranded between two men - the man who offers refuge within a perfect illusion and the man who holds the key to a catastrophic reality - she must make a choice.

To stay safely oblivious... or to break free and remember the life that was stolen from her.

Because someone made sure she forgot.

And they'll do whatever it takes to keep it that way.

Some truths are dangerous - and some memories are worth everything."
True,https://www.wattpad.com/story/333100433,333100433,Insanity,36.2,14.356000968187296,50.5560009681873,139780,2902,545,0,1,"[""abused"", ""arrangedmarriage"", ""bestfriend"", ""billionaire"", ""death"", ""enemiestolovers"", ""engaged"", ""fakedate"", ""fakedating"", ""fakelove"", ""grumpyxsunshine"", ""heir"", ""heiress"", ""italian"", ""littlesister"", ""love"", ""millionaire"", ""model"", ""money"", ""rich"", ""romance"", ""sister"", ""teenlove"", ""teenromance"", ""texttospeech"", ""youngadult"", ""Romance""]","[""psychology:sanity"", ""title:sanity"", ""psychology:insanity"", ""title:insanity"", ""multi-signal""]","[""reads=139780"", ""votes=2902"", ""comments=545""]","To the world, Allena Draknos is a cold, teenage model who doesn't care about anything or anyone. In reality, she's trying to protect herself and younger sisters from the wrath of their abusive uncle.

To the world, Luca Romano, is Italy's golden boy. Rich, good looking, everything a girl wants. In reality he's the heir to a mafia he doesn't even want, and under control of his strict father.

The two don't have much in common except for two things: the fear of arranged marriage, and a disdain for each other. But, if they want to save themselves and the people they care about they have to push that aside and convince the entire world they're dating.

EXCERPT

""There's no harm in holding in this out, at least until the threat of an arranged marriage passes."" He argues.

""I can't decide what happens to my future until I'm eighteen, and legally get my inheritance. That's months from now."" I retort.

""And I can't decide until the business gets handed over to me in a few months."" Luca adds. ""We keep this up until then, and then we break it off.""

""And what happens when they ask why we aren't engaged?"" I ask.

""They won't. We just need it to last for a little."" He continues. ""Plus, we'd barely have to see each other. I'd be in Italy, and you'd be here. Occasionally we can be seen together, for the press and our family.""

""They'll read right through us."" I mumble.

""Only if we let them.""

""This is insane."" I whisper.

""Well, then what do you say, bellissima? Want to go to insanity with me?"""
True,https://www.wattpad.com/story/72534980,72534980,Psychological Facts,37.4,12.827440901110009,50.22744090111001,555577,16503,2276,0,1,"[""behaviour"", ""historical"", ""hugot"", ""human"", ""mental"", ""mind"", ""people"", ""personality"", ""phobia"", ""psychological"", ""pyschology"", ""random"", ""sayings"", ""science"", ""teenagers"", ""Random""]","[""psychology:psychology"", ""psychology:psychological"", ""title:psychological"", ""strong-tag:psychological"", ""multi-signal""]","[""reads=555577"", ""votes=16503"", ""comments=2276"", ""presentation:very-short-synopsis""]",All about psychology
True,https://www.wattpad.com/story/50519321,50519321,Rises from Insanity (Sequel to Falling In Love with Insanity),36.2,13.627470283619694,49.8274702836197,79729,2637,230,0,1,"[""arkham"", ""arkhamasylum"", ""asylum"", ""bane"", ""batman"", ""bruce"", ""brucewayne"", ""chaos"", ""dickgreyson"", ""gordon"", ""gothamcity"", ""jimgordon"", ""joker"", ""napier"", ""wayne"", ""Fanfiction""]","[""psychology:sanity"", ""title:sanity"", ""psychology:insanity"", ""title:insanity"", ""multi-signal""]","[""reads=79729"", ""votes=2637"", ""comments=230""]","It's been four years since Katie Wayne has been in Gotham.

And she is still in love with the Joker and she will do anything to break him out of Arkham.

Even if it means working along side the man who brings Gotham into complete chaos."
True,https://www.wattpad.com/story/139779570,139779570,Psychological problems,37.4,11.519555148483818,48.919555148483816,16827,488,145,0,1,"[""nonfiction"", ""psychology"", ""Non-Fiction""]","[""psychology:psychology"", ""psychology:psychological"", ""title:psychological"", ""strong-tag:psychology"", ""multi-signal""]","[""reads=16827"", ""votes=488"", ""comments=145""]","This subject shall questionable ?

We learn from psychology ourselves better ,deal with different humans and other things.

So we can start the ""adventure together"" hope you like it. And have a good day!"
True,https://www.wattpad.com/story/3169587,3169587,Sin (Wattys Winner),30.5,17.659241585261196,48.1592415852612,1029189,14947,8557,0,1,"[""antihero"", ""asylum"", ""badboy"", ""chiller"", ""death"", ""england"", ""featured"", ""ghost"", ""horror"", ""mystery"", ""mystery-thriller"", ""paranormal"", ""psychological"", ""scary"", ""sin"", ""supernatural"", ""suspense"", ""thriller"", ""urban"", ""urbanfantasy"", ""wattpadoriginals"", ""wattpadstars"", ""Horror""]","[""psychology:psychological"", ""strong-tag:psychological""]","[""reads=1029189"", ""votes=14947"", ""comments=8557""]","On the flip of a coin, people die around Sin. Escaped from a lunatic asylum and haunted by his dead sister, he must find out why, and discover who is trying to use his power to destroy everything and everyone.

*****

Dead, dead, dead. Say it enough times and it becomes just another word.

What would you do? Could you kill a killer? Does the death of one appease the deaths of a hundred? What about that hundred against a thousand?

What if you had no choice?

Meet Sin. No, not that sort of sin, but Sin, crazy as a loon (you ask Sister Moon), and proud of it. Sin locks himself away in an asylum and, every so often, badboy he's believed to be, gets violent. That's only so they'll give him those nice drugs, though. The ones that help him forget.

It's a pity they don't work.

Sin, you see, has a serious problem. Well, it's not so much his problem, as ours - yours, mine and everyone else's. People die around Sin. He doesn't like it and there's nothing he can do about it. But someone else knows, and Sin has to stop them... and himself...

Flip and catch...

--

WATTY WINNER!!

Includes a special BONUS CHAPTER commissioned for Amazon Prime's Panic, and bonus chapters set in Sin's asylum!

Featured on the following amazing lists!

*The @fright profile for Top Horror Stories selected by movie The Ring!*

*The Top Psychological Horror reading list for The Boy movie!*

*The Terrifying Thrillers reading list for The Purge: Election Year!*

*The Sinister Stories reading list for movie Sinister II!*

*The Best of Thriller reading list for the Unfriended film!*

#4 in MysteryThriller

#6 in Horror

#6 in Mystery

#2 in Psychological

#1 in Chiller

#1 in Psychological Horror on Amazon!"
True,https://www.wattpad.com/story/69648678,69648678,Psychology Facts 101,32.6,15.330354946742453,47.930354946742455,2502199,86081,11687,0,1,"[""completed"", ""facts"", ""psychology"", ""Random""]","[""psychology:psychology"", ""title:psychology"", ""strong-tag:psychology""]","[""reads=2502199"", ""votes=86081"", ""comments=11687"", ""presentation:very-short-synopsis""]","This are some of the Facts about Psychology.

I will only write 101 facts about it."
True,https://www.wattpad.com/story/38446006,38446006,Existential,32.6,14.693659130871222,47.29365913087122,96029,3055,1725,0,1,"[""21p"", ""bands"", ""concerts"", ""dun"", ""eschleman"", ""high"", ""joseph"", ""josh"", ""joshdun"", ""mark"", ""one"", ""pilots"", ""school"", ""twenty"", ""twentyonepilots"", ""tyler"", ""tylerjoseph"", ""tøp"", ""Fanfiction""]","[""philosophy:existential"", ""title:existential"", ""psychology:depression"", ""cross-domain-evidence"", ""multi-signal""]","[""reads=96029"", ""votes=3055"", ""comments=1725""]","Alice is the tormentor of the Clevand High School. She thrives in her group of friends, also the pranksters, and loves to break kids down. When she gets involved with the high school basketball star will she get more than she bargained for?

A ski mask romance.

This story references suicide, depression, self harm and child abuse. If any of these trigger you please read with caution."
True,https://www.wattpad.com/story/126462571,126462571,Project Oxygen,30.0,16.545182453383195,46.54518245338319,243007,7731,12761,0,1,"[""adult"", ""college"", ""contemporary"", ""creepy"", ""crime"", ""danger"", ""dark"", ""death"", ""fiction"", ""friendship"", ""killer"", ""legend"", ""life"", ""murder"", ""mystery"", ""police"", ""professor"", ""psychological"", ""science"", ""secrets"", ""suspense"", ""thriller"", ""wattpadcreators"", ""whodunnit"", ""Mystery / Thriller""]","[""psychology:psychology"", ""psychology:psychological"", ""strong-tag:psychological""]","[""reads=243007"", ""votes=7731"", ""comments=12761""]","When someone dies mysteriously during a Psych experiment, Rhiannon becomes enmeshed in a conspiracy that includes both the survivors and the killer.

*****

Short on cash, Rhiannon Ford signs up to take part in a social psychology experiment based on group think. But when a participant dies under mysterious circumstances, and the story surrounding that death seems mired in conflicting lies, she's quickly drawn into a web of conspiracies that merge urban legends, rivalries, and the very psychological principle the test was about. When everyone is lying, how can Rhiannon find the truth?

*****

[[word count: 100,000-150,000 words]]"
True,https://www.wattpad.com/story/343606089,343606089,"Nihil, Void given Consciousness",34.4,11.013233753405098,45.413233753405095,12173,322,124,0,1,"[""eldritchiuku"", ""emotionlessizuku"", ""godizuku"", ""izuku"", ""opizuku"", ""scaryizuku"", ""thevoid"", ""Fanfiction""]","[""philosophy:consciousness"", ""title:consciousness"", ""philosophy:existence""]","[""reads=12173"", ""votes=322"", ""comments=124""]","Long before quirks, before existence came to be, there was only the Void.

It was the primordial state of the universe, an infinite place of perfect balance and peace,and both were shattered with the birth of existence. Both being the perfect opposite of each other, they endlessly tried to cancel each other out.

However, one day the Void manege to sip inside reality changing both in an unexpected way : reality created quirks as a defensive reaction, while the Void developed a conscious.This consciousness, made the Void pass over its own destructive nature and gave it a new compulsive will, the will to learn.

A vessel will be created to amass all knowledge possible on existence and try to understand why the constant chaos of existence seems so appealing."
True,https://www.wattpad.com/story/411669919-the-monster-she-calmed,411669919,The Monster She Calmed,27.0,16.515896137304484,43.51589613730448,243050,8907,424,1,0,"[""desi"", ""india"", ""love"", ""mafia"", ""obsession"", ""possessive"", ""psychiatrist"", ""psycho"", ""psychological"", ""romance"", ""strongfemalecharacter"", ""strongfemalelead"", ""trauma"", ""trust"", ""Romance""]","[""psychology:psychologist"", ""psychology:trauma"", ""strong-tag:psychological""]","[""reads=243050"", ""votes=8907"", ""comments=424"", ""popularity-surfaces=1""]","BOOK 1 Of RATHORE SERIES

He was the nightmare everyone feared.

She became the only thing he couldn't survive without.

He survived bullets, bloodshed, and betrayal.

But he was never prepared for kindness.

✧ TROPES ✧

Obsessive Mafia Hero

Psychologist × Mafia King

Touch Her And Die

Possessive Male Lead

Dark Romance

Trauma & Healing

Emotional Dependency

Morally Grey Hero

Protective Obsession

Beauty and the Beast Vibes

Hurt/Comfort

He Falls First and Harder"
